,face_engaged,face_glasses,face_happy,face_lefteyeclosed,face_lookingaway,face_mouthmoved,face_mouthopen,face_pitch,face_righteyeclosed,face_roll,face_size,face_yaw,hip_rot,index,shoulder_rot,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,HeadX,HeadY,HeadZ,HipLeftX,HipLeftY,HipLeftZ,HipRightX,HipRightY,HipRightZ,NeckX,NeckY,NeckZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,SpineBaseX,SpineBaseY,SpineBaseZ,SpineMidX,SpineMidY,SpineMidZ,SpineShoulderX,SpineShoulderY,SpineShoulderZ,WristLeftX,WristLeftY,WristLeftZ,WristRightX,WristRightY,WristRightZ,pedes_posX,pedes_posY,pedes_posZ,Activity
0,no,unknown,unknown,unknown,yes,unknown,unknown,30,unknown,20,0,30,-0.385723578,3,-0.37604074,0.03953678,0.1878075,1.492698,0.515648365,0.230809674,1.27125156,0.1873136,0.7197325,1.39821815,0.216301292,2.54E-06,1.37169182,0.354631037,0.006771681,1.315521,0.233435288,0.605827868,1.40103412,0.084844515,0.454684734,1.42428589,0.386709839,0.47341916,1.30510068,0.293016464,0.003558945,1.37943912,0.2616066,0.313267648,1.39827776,0.23987937,0.534295142,1.4013052,-0.032113336,-0.029377194,1.42327452,0.498120546,0.027919784,1.141602,0.2616066,0.313267648,1.39827776,Approaching
1,no,unknown,unknown,unknown,yes,unknown,unknown,30,unknown,20,0,30,-0.365763866,3,-0.377117179,0.03502844,0.1906661,1.49942827,0.5110787,0.230401054,1.27608752,0.197409973,0.722978354,1.40777016,0.213346452,-0.004678783,1.3770951,0.352086037,-0.00247753,1.32395816,0.2413848,0.6052898,1.41268623,0.08460368,0.467633247,1.45240283,0.39789924,0.472938657,1.32831466,0.290138364,-0.00345322,1.38630033,0.264427274,0.310272247,1.40518665,0.247039914,0.5334232,1.412496,-0.045695126,-0.022877917,1.43095064,0.489795744,0.0318597,1.14118814,0.264427274,0.310272247,1.40518665,Approaching
2,no,unknown,unknown,unknown,yes,unknown,unknown,30,unknown,20,0,30,-0.365763866,3,-0.377117179,0.03502844,0.1906661,1.49942827,0.5110787,0.230401054,1.27608752,0.197409973,0.722978354,1.40777016,0.213346452,-0.004678783,1.3770951,0.352086037,-0.00247753,1.32395816,0.2413848,0.6052898,1.41268623,0.08460368,0.467633247,1.45240283,0.39789924,0.472938657,1.32831466,0.290138364,-0.00345322,1.38630033,0.264427274,0.310272247,1.40518665,0.247039914,0.5334232,1.412496,-0.045695126,-0.022877917,1.43095064,0.489795744,0.0318597,1.14118814,0.264427274,0.310272247,1.40518665,Approaching
3,no,yes,no,yes,yes,yes,no,25,yes,20,0,20,-0.310909796,3,-0.340807746,0.027248003,0.19451569,1.50562537,0.504811,0.230046123,1.29063416,0.208584487,0.7257026,1.42002845,0.207052112,-0.008537925,1.38868749,0.345419139,-0.00239969,1.34422588,0.249919981,0.6043949,1.42928123,0.085356705,0.4695867,1.46314692,0.4073784,0.4709051,1.34894323,0.283599079,-0.006103206,1.40194619,0.2668776,0.3083618,1.42089546,0.2542621,0.5325895,1.42900515,-0.063712545,-0.01308539,1.436108,0.483712018,0.038925074,1.14721572,0.2668776,0.3083618,1.42089546,Approaching
4,no,yes,no,yes,yes,yes,no,25,yes,20,0,20,-0.310909796,3,-0.340807746,0.027248003,0.19451569,1.50562537,0.504811,0.230046123,1.29063416,0.208584487,0.7257026,1.42002845,0.207052112,-0.008537925,1.38868749,0.345419139,-0.00239969,1.34422588,0.249919981,0.6043949,1.42928123,0.085356705,0.4695867,1.46314692,0.4073784,0.4709051,1.34894323,0.283599079,-0.006103206,1.40194619,0.2668776,0.3083618,1.42089546,0.2542621,0.5325895,1.42900515,-0.063712545,-0.01308539,1.436108,0.483712018,0.038925074,1.14721572,0.2668776,0.3083618,1.42089546,Approaching
5,no,yes,no,yes,yes,yes,yes,20,yes,15,0,15,-0.246109624,3,-0.288588169,0.015853794,0.21082589,1.51142633,0.5044073,0.21841459,1.33831131,0.2221063,0.7292017,1.443763,0.2016709,-0.0088436,1.39928293,0.3427966,0.00288608,1.36383188,0.259485871,0.6045724,1.4598875,0.08763412,0.471613765,1.48175788,0.419710964,0.467008531,1.38317227,0.279187828,-0.00335347,1.417435,0.269336283,0.309947133,1.44419408,0.2621158,0.533235133,1.45784771,-0.072899,0.008585045,1.43200481,0.487418354,0.031315383,1.1939019,0.269336283,0.309947133,1.44419408,Approaching
6,no,yes,no,yes,yes,yes,yes,20,yes,15,0,15,-0.246109624,3,-0.288588169,0.015853794,0.21082589,1.51142633,0.5044073,0.21841459,1.33831131,0.2221063,0.7292017,1.443763,0.2016709,-0.0088436,1.39928293,0.3427966,0.00288608,1.36383188,0.259485871,0.6045724,1.4598875,0.08763412,0.471613765,1.48175788,0.419710964,0.467008531,1.38317227,0.279187828,-0.00335347,1.417435,0.269336283,0.309947133,1.44419408,0.2621158,0.533235133,1.45784771,-0.072899,0.008585045,1.43200481,0.487418354,0.031315383,1.1939019,0.269336283,0.309947133,1.44419408,Approaching
7,no,yes,no,yes,yes,yes,no,20,yes,15,0,20,-0.237642431,3,-0.290173555,0.016595101,0.2143869,1.513816,0.508963048,0.21158132,1.354029,0.227335826,0.7303015,1.45493627,0.200407013,-0.008931229,1.40264046,0.342816263,0.003157727,1.36814618,0.263600171,0.6041385,1.47133279,0.09112313,0.47228387,1.49152577,0.42308107,0.466023147,1.39240253,0.278574556,-0.003148504,1.4214437,0.271151453,0.3098058,1.45203793,0.2656974,0.532864,1.46841741,-0.070603594,0.013841373,1.4306885,0.5020309,0.014436329,1.22539365,0.271151453,0.3098058,1.45203793,Approaching
8,no,yes,no,yes,yes,yes,no,20,yes,15,0,20,-0.237642431,3,-0.290173555,0.016595101,0.2143869,1.513816,0.508963048,0.21158132,1.354029,0.227335826,0.7303015,1.45493627,0.200407013,-0.008931229,1.40264046,0.342816263,0.003157727,1.36814618,0.263600171,0.6041385,1.47133279,0.09112313,0.47228387,1.49152577,0.42308107,0.466023147,1.39240253,0.278574556,-0.003148504,1.4214437,0.271151453,0.3098058,1.45203793,0.2656974,0.532864,1.46841741,-0.070603594,0.013841373,1.4306885,0.5020309,0.014436329,1.22539365,0.271151453,0.3098058,1.45203793,Approaching
9,no,unknown,unknown,unknown,yes,unknown,unknown,20,unknown,10,0,25,-0.240913134,3,-0.304413132,0.034444906,0.208522111,1.52539182,0.5233033,0.200649455,1.36418021,0.241031751,0.7292553,1.47208571,0.203797132,-0.011048419,1.41184974,0.349493325,-0.002639266,1.37605441,0.28020227,0.602820754,1.48683715,0.107992671,0.46989277,1.504993,0.434197158,0.464276224,1.40250659,0.283736646,-0.006986262,1.43019474,0.2825192,0.306927741,1.46454787,0.2810651,0.531112432,1.48321164,-0.046398815,0.004689854,1.44487,0.526159465,-0.006570176,1.24880254,0.2825192,0.306927741,1.46454787,Approaching
