,face_engaged,face_glasses,face_happy,face_lefteyeclosed,face_lookingaway,face_mouthmoved,face_mouthopen,face_pitch,face_righteyeclosed,face_roll,face_size,face_yaw,hip_rot,index,shoulder_rot,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,HeadX,HeadY,HeadZ,HipLeftX,HipLeftY,HipLeftZ,HipRightX,HipRightY,HipRightZ,NeckX,NeckY,NeckZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,SpineBaseX,SpineBaseY,SpineBaseZ,SpineMidX,SpineMidY,SpineMidZ,SpineShoulderX,SpineShoulderY,SpineShoulderZ,WristLeftX,WristLeftY,WristLeftZ,WristRightX,WristRightY,WristRightZ,pedes_posX,pedes_posY,pedes_posZ
0,no,unknown,unknown,unknown,yes,unknown,unknown,30,unknown,20,0.0,30,-0.3857235779654633,3,-0.37604074045237124,0.03953678,0.1878075,1.492698,0.515648365,0.230809674,1.27125156,0.1873136,0.7197325,1.39821815,0.216301292,2.54000929e-06,1.37169182,0.354631037,0.00677168136,1.315521,0.233435288,0.605827868,1.40103412,0.0848445147,0.454684734,1.42428589,0.386709839,0.47341916,1.30510068,0.293016464,0.003558945,1.37943912,0.2616066,0.313267648,1.39827776,0.23987937,0.534295142,1.4013052,-0.032113336,-0.0293771941,1.42327452,0.498120546,0.0279197842,1.141602,0.2616066,0.313267648,1.39827776
1,no,unknown,unknown,unknown,yes,unknown,unknown,30,unknown,20,0.0,30,-0.36576386602304817,3,-0.3771171789838109,0.03502844,0.1906661,1.49942827,0.5110787,0.230401054,1.27608752,0.197409973,0.722978354,1.40777016,0.213346452,-0.004678783,1.3770951,0.352086037,-0.00247753039,1.32395816,0.2413848,0.6052898,1.41268623,0.08460368,0.467633247,1.45240283,0.39789924,0.472938657,1.32831466,0.290138364,-0.00345321978,1.38630033,0.264427274,0.310272247,1.40518665,0.247039914,0.5334232,1.412496,-0.0456951261,-0.0228779167,1.43095064,0.489795744,0.0318597,1.14118814,0.264427274,0.310272247,1.40518665
2,no,unknown,unknown,unknown,yes,unknown,unknown,30,unknown,20,0.0,30,-0.36576386602304817,3,-0.3771171789838109,0.03502844,0.1906661,1.49942827,0.5110787,0.230401054,1.27608752,0.197409973,0.722978354,1.40777016,0.213346452,-0.004678783,1.3770951,0.352086037,-0.00247753039,1.32395816,0.2413848,0.6052898,1.41268623,0.08460368,0.467633247,1.45240283,0.39789924,0.472938657,1.32831466,0.290138364,-0.00345321978,1.38630033,0.264427274,0.310272247,1.40518665,0.247039914,0.5334232,1.412496,-0.0456951261,-0.0228779167,1.43095064,0.489795744,0.0318597,1.14118814,0.264427274,0.310272247,1.40518665
3,no,yes,no,yes,yes,yes,no,25,yes,20,0.0,20,-0.3109097960207613,3,-0.34080774593286733,0.0272480026,0.19451569,1.50562537,0.504811,0.230046123,1.29063416,0.208584487,0.7257026,1.42002845,0.207052112,-0.008537925,1.38868749,0.345419139,-0.00239969,1.34422588,0.249919981,0.6043949,1.42928123,0.0853567049,0.4695867,1.46314692,0.4073784,0.4709051,1.34894323,0.283599079,-0.006103206,1.40194619,0.2668776,0.3083618,1.42089546,0.2542621,0.5325895,1.42900515,-0.0637125447,-0.01308539,1.436108,0.483712018,0.038925074,1.14721572,0.2668776,0.3083618,1.42089546
4,no,yes,no,yes,yes,yes,no,25,yes,20,0.0,20,-0.3109097960207613,3,-0.34080774593286733,0.0272480026,0.19451569,1.50562537,0.504811,0.230046123,1.29063416,0.208584487,0.7257026,1.42002845,0.207052112,-0.008537925,1.38868749,0.345419139,-0.00239969,1.34422588,0.249919981,0.6043949,1.42928123,0.0853567049,0.4695867,1.46314692,0.4073784,0.4709051,1.34894323,0.283599079,-0.006103206,1.40194619,0.2668776,0.3083618,1.42089546,0.2542621,0.5325895,1.42900515,-0.0637125447,-0.01308539,1.436108,0.483712018,0.038925074,1.14721572,0.2668776,0.3083618,1.42089546
5,no,yes,no,yes,yes,yes,yes,20,yes,15,0.0,15,-0.24610962362993186,3,-0.2885881686145528,0.0158537943,0.21082589,1.51142633,0.5044073,0.21841459,1.33831131,0.2221063,0.7292017,1.443763,0.2016709,-0.0088436,1.39928293,0.3427966,0.00288608042,1.36383188,0.259485871,0.6045724,1.4598875,0.08763412,0.471613765,1.48175788,0.419710964,0.467008531,1.38317227,0.279187828,-0.00335347,1.417435,0.269336283,0.309947133,1.44419408,0.2621158,0.533235133,1.45784771,-0.072899,0.008585045,1.43200481,0.487418354,0.0313153826,1.1939019,0.269336283,0.309947133,1.44419408
6,no,yes,no,yes,yes,yes,yes,20,yes,15,0.0,15,-0.24610962362993186,3,-0.2885881686145528,0.0158537943,0.21082589,1.51142633,0.5044073,0.21841459,1.33831131,0.2221063,0.7292017,1.443763,0.2016709,-0.0088436,1.39928293,0.3427966,0.00288608042,1.36383188,0.259485871,0.6045724,1.4598875,0.08763412,0.471613765,1.48175788,0.419710964,0.467008531,1.38317227,0.279187828,-0.00335347,1.417435,0.269336283,0.309947133,1.44419408,0.2621158,0.533235133,1.45784771,-0.072899,0.008585045,1.43200481,0.487418354,0.0313153826,1.1939019,0.269336283,0.309947133,1.44419408
7,no,yes,no,yes,yes,yes,no,20,yes,15,0.0,20,-0.23764243091503595,3,-0.29017355519622384,0.016595101,0.2143869,1.513816,0.508963048,0.21158132,1.354029,0.227335826,0.7303015,1.45493627,0.200407013,-0.008931229,1.40264046,0.342816263,0.00315772672,1.36814618,0.263600171,0.6041385,1.47133279,0.09112313,0.47228387,1.49152577,0.42308107,0.466023147,1.39240253,0.278574556,-0.0031485036,1.4214437,0.271151453,0.3098058,1.45203793,0.2656974,0.532864,1.46841741,-0.0706035942,0.0138413729,1.4306885,0.5020309,0.0144363288,1.22539365,0.271151453,0.3098058,1.45203793
8,no,yes,no,yes,yes,yes,no,20,yes,15,0.0,20,-0.23764243091503595,3,-0.29017355519622384,0.016595101,0.2143869,1.513816,0.508963048,0.21158132,1.354029,0.227335826,0.7303015,1.45493627,0.200407013,-0.008931229,1.40264046,0.342816263,0.00315772672,1.36814618,0.263600171,0.6041385,1.47133279,0.09112313,0.47228387,1.49152577,0.42308107,0.466023147,1.39240253,0.278574556,-0.0031485036,1.4214437,0.271151453,0.3098058,1.45203793,0.2656974,0.532864,1.46841741,-0.0706035942,0.0138413729,1.4306885,0.5020309,0.0144363288,1.22539365,0.271151453,0.3098058,1.45203793
9,no,unknown,unknown,unknown,yes,unknown,unknown,20,unknown,10,0.0,25,-0.24091313449588014,3,-0.3044131315433243,0.0344449058,0.208522111,1.52539182,0.5233033,0.200649455,1.36418021,0.241031751,0.7292553,1.47208571,0.203797132,-0.0110484194,1.41184974,0.349493325,-0.00263926643,1.37605441,0.28020227,0.602820754,1.48683715,0.107992671,0.46989277,1.504993,0.434197158,0.464276224,1.40250659,0.283736646,-0.006986262,1.43019474,0.2825192,0.306927741,1.46454787,0.2810651,0.531112432,1.48321164,-0.0463988148,0.00468985364,1.44487,0.526159465,-0.006570176,1.24880254,0.2825192,0.306927741,1.46454787
10,no,unknown,unknown,unknown,yes,unknown,unknown,20,unknown,10,0.0,25,-0.24091313449588014,3,-0.3044131315433243,0.0344449058,0.208522111,1.52539182,0.5233033,0.200649455,1.36418021,0.241031751,0.7292553,1.47208571,0.203797132,-0.0110484194,1.41184974,0.349493325,-0.00263926643,1.37605441,0.28020227,0.602820754,1.48683715,0.107992671,0.46989277,1.504993,0.434197158,0.464276224,1.40250659,0.283736646,-0.006986262,1.43019474,0.2825192,0.306927741,1.46454787,0.2810651,0.531112432,1.48321164,-0.0463988148,0.00468985364,1.44487,0.526159465,-0.006570176,1.24880254,0.2825192,0.306927741,1.46454787
11,no,yes,no,yes,yes,yes,no,20,no,20,0.0,20,-0.24283080829968431,3,-0.3093676374491245,0.0376854129,0.209055677,1.52602935,0.5260296,0.2008332,1.364668,0.244151533,0.7295699,1.47339,0.205553323,-0.0116282143,1.41315877,0.3513066,-0.00374875031,1.3770529,0.283032715,0.603028059,1.48815215,0.111629516,0.470644,1.50567031,0.434291959,0.464273453,1.40253758,0.285588384,-0.00786020048,1.43137419,0.284965366,0.306595355,1.46582222,0.283814132,0.531186163,1.48451877,-0.04159413,0.00423964253,1.44635,0.526819766,-0.006767795,1.24877763,0.284965366,0.306595355,1.46582222
12,no,yes,no,yes,yes,yes,no,20,no,20,0.0,20,-0.24283080829968431,3,-0.3093676374491245,0.0376854129,0.209055677,1.52602935,0.5260296,0.2008332,1.364668,0.244151533,0.7295699,1.47339,0.205553323,-0.0116282143,1.41315877,0.3513066,-0.00374875031,1.3770529,0.283032715,0.603028059,1.48815215,0.111629516,0.470644,1.50567031,0.434291959,0.464273453,1.40253758,0.285588384,-0.00786020048,1.43137419,0.284965366,0.306595355,1.46582222,0.283814132,0.531186163,1.48451877,-0.04159413,0.00423964253,1.44635,0.526819766,-0.006767795,1.24877763,0.284965366,0.306595355,1.46582222
13,no,unknown,unknown,unknown,yes,unknown,unknown,20,unknown,15,0.0,25,-0.23930140149935297,3,-0.2992214790057919,0.0404363349,0.207826361,1.52577829,0.528336048,0.20154503,1.36523819,0.2468571,0.729499042,1.47406209,0.208254859,-0.0118811959,1.41479123,0.355459839,-0.0047231717,1.37887669,0.2857344,0.6032983,1.48910427,0.114206366,0.470485568,1.50565684,0.44038707,0.463878483,1.4050355,0.289086133,-0.0084689185,1.43312728,0.288196027,0.306501776,1.467188,0.2866593,0.531379759,1.48557174,-0.0372793935,0.002279428,1.44635677,0.527256,-0.00581316371,1.24889231,0.288196027,0.306501776,1.467188
14,no,unknown,unknown,unknown,yes,unknown,unknown,20,unknown,15,0.0,25,-0.23930140149935297,3,-0.2992214790057919,0.0404363349,0.207826361,1.52577829,0.528336048,0.20154503,1.36523819,0.2468571,0.729499042,1.47406209,0.208254859,-0.0118811959,1.41479123,0.355459839,-0.0047231717,1.37887669,0.2857344,0.6032983,1.48910427,0.114206366,0.470485568,1.50565684,0.44038707,0.463878483,1.4050355,0.289086133,-0.0084689185,1.43312728,0.288196027,0.306501776,1.467188,0.2866593,0.531379759,1.48557174,-0.0372793935,0.002279428,1.44635677,0.527256,-0.00581316371,1.24889231,0.288196027,0.306501776,1.467188
15,no,yes,no,yes,yes,yes,no,20,no,15,0.0,20,-0.2307907644211614,3,-0.28813552287664385,0.0448319539,0.207064241,1.52434707,0.531515658,0.202031314,1.3659364,0.2525213,0.7300668,1.47498846,0.211856,-0.0117815966,1.416232,0.360761553,-0.00574992225,1.38124251,0.2908876,0.603969932,1.48977,0.118760228,0.471465856,1.50528979,0.447459638,0.463862926,1.40786874,0.2936613,-0.008916079,1.43503118,0.293177068,0.306651354,1.46850431,0.291787952,0.531928241,1.4864049,-0.02876412,0.0001403956,1.44425154,0.5275993,-0.00068694615,1.247083,0.293177068,0.306651354,1.46850431
16,no,yes,no,yes,yes,yes,no,20,no,15,0.0,20,-0.2307907644211614,3,-0.28813552287664385,0.0448319539,0.207064241,1.52434707,0.531515658,0.202031314,1.3659364,0.2525213,0.7300668,1.47498846,0.211856,-0.0117815966,1.416232,0.360761553,-0.00574992225,1.38124251,0.2908876,0.603969932,1.48977,0.118760228,0.471465856,1.50528979,0.447459638,0.463862926,1.40786874,0.2936613,-0.008916079,1.43503118,0.293177068,0.306651354,1.46850431,0.291787952,0.531928241,1.4864049,-0.02876412,0.0001403956,1.44425154,0.5275993,-0.00068694615,1.247083,0.293177068,0.306651354,1.46850431
17,no,yes,no,yes,yes,yes,no,20,yes,15,0.0,25,-0.22641627489854618,3,-0.2825472924326842,0.0493224338,0.209111452,1.51930118,0.533711135,0.203456208,1.36604726,0.256561279,0.7304259,1.47327089,0.2148128,-0.01146839,1.41658115,0.364793181,-0.00616496569,1.38203073,0.2946064,0.6041679,1.48820639,0.122241668,0.4728018,1.50347364,0.451313764,0.464292675,1.40793931,0.297260374,-0.008966146,1.43561375,0.296813071,0.306750625,1.46806753,0.295483649,0.53210783,1.4851402,-0.02109261,0.00455482956,1.42970347,0.525963,0.004110199,1.24140644,0.296813071,0.306750625,1.46806753
18,no,yes,no,yes,yes,yes,no,20,yes,15,0.0,25,-0.22641627489854618,3,-0.2825472924326842,0.0493224338,0.209111452,1.51930118,0.533711135,0.203456208,1.36604726,0.256561279,0.7304259,1.47327089,0.2148128,-0.01146839,1.41658115,0.364793181,-0.00616496569,1.38203073,0.2946064,0.6041679,1.48820639,0.122241668,0.4728018,1.50347364,0.451313764,0.464292675,1.40793931,0.297260374,-0.008966146,1.43561375,0.296813071,0.306750625,1.46806753,0.295483649,0.53210783,1.4851402,-0.02109261,0.00455482956,1.42970347,0.525963,0.004110199,1.24140644,0.296813071,0.306750625,1.46806753
19,no,yes,no,yes,yes,yes,no,20,yes,20,0.0,25,-0.20839856541451993,3,-0.25594913500586086,0.0287551358,0.208487168,1.48451161,0.5142254,0.200811386,1.34935343,0.22755082,0.729509532,1.44211781,0.194881991,-0.01279472,1.38926756,0.345264,-0.00600130437,1.35746646,0.2674033,0.6043091,1.45613515,0.09417369,0.471923381,1.47398162,0.427024841,0.466110229,1.38687825,0.277277261,-0.009636963,1.40993965,0.273331136,0.306775779,1.439305,0.269215077,0.5322899,1.45389,-0.034540128,-0.0003045386,1.39923322,0.507649541,-0.00368398917,1.23331881,0.273331136,0.306775779,1.439305
20,no,yes,no,yes,yes,yes,no,20,yes,20,0.0,25,-0.20839856541451993,3,-0.25594913500586086,0.0287551358,0.208487168,1.48451161,0.5142254,0.200811386,1.34935343,0.22755082,0.729509532,1.44211781,0.194881991,-0.01279472,1.38926756,0.345264,-0.00600130437,1.35746646,0.2674033,0.6043091,1.45613515,0.09417369,0.471923381,1.47398162,0.427024841,0.466110229,1.38687825,0.277277261,-0.009636963,1.40993965,0.273331136,0.306775779,1.439305,0.269215077,0.5322899,1.45389,-0.034540128,-0.0003045386,1.39923322,0.507649541,-0.00368398917,1.23331881,0.273331136,0.306775779,1.439305
21,no,unknown,unknown,unknown,yes,unknown,unknown,25,unknown,15,0.0,30,-0.19207509662831815,3,-0.25251538160323106,0.0192923825,0.209406123,1.46819413,0.503107369,0.203479588,1.34103775,0.216999725,0.728787065,1.43083286,0.186655849,-0.01265322,1.3711201,0.336975157,-0.003388662,1.34188712,0.255683839,0.6055873,1.44291818,0.0840854645,0.472493351,1.45963824,0.417703539,0.467359662,1.37355709,0.268881917,-0.008213106,1.3931253,0.263127565,0.30828768,1.42425811,0.2578362,0.533651948,1.44020593,-0.0423356667,0.000343987282,1.38225842,0.4944604,7.936188e-05,1.22301877,0.263127565,0.30828768,1.42425811
22,no,unknown,unknown,unknown,yes,unknown,unknown,25,unknown,15,0.0,30,-0.19207509662831815,3,-0.25251538160323106,0.0192923825,0.209406123,1.46819413,0.503107369,0.203479588,1.34103775,0.216999725,0.728787065,1.43083286,0.186655849,-0.01265322,1.3711201,0.336975157,-0.003388662,1.34188712,0.255683839,0.6055873,1.44291818,0.0840854645,0.472493351,1.45963824,0.417703539,0.467359662,1.37355709,0.268881917,-0.008213106,1.3931253,0.263127565,0.30828768,1.42425811,0.2578362,0.533651948,1.44020593,-0.0423356667,0.000343987282,1.38225842,0.4944604,7.936188e-05,1.22301877,0.263127565,0.30828768,1.42425811
23,no,unknown,unknown,unknown,yes,unknown,unknown,25,unknown,15,0.0,30,-0.20757050889099277,3,-0.286450594911441,0.0138199832,0.209097072,1.45452285,0.494918764,0.203865588,1.3290416,0.210702211,0.72775054,1.4213078,0.182765782,-0.0134758819,1.36137414,0.33141917,-0.002741347,1.33006716,0.247954175,0.6062641,1.43106508,0.08223861,0.472219884,1.45619869,0.409651637,0.4674771,1.35975873,0.264114738,-0.008354575,1.38238859,0.2568751,0.30866012,1.41294694,0.250466436,0.534275353,1.42847764,-0.0463733561,0.000849603268,1.36533225,0.48547408,-0.00114673784,1.2129544,0.2568751,0.30866012,1.41294694
